HGT,Seed,Raw_Multi_AMR,Proc_Multi_AMR,Combined_Multi_AMR
0.0,0,0.036585365853658534,0.05102040816326531,0.043802887008461924
0.0,1,0.044444444444444446,0.044444444444444446,0.044444444444444446
0.0,2,0.05154639175257732,0.060240963855421686,0.0558936778039995
0.0,3,0.06666666666666667,0.01904761904761905,0.04285714285714286
0.0,4,0.054945054945054944,0.011235955056179775,0.03309050500061736
0.0,5,0.07865168539325842,0.01098901098901099,0.04482034819113471
0.0,6,0.043010752688172046,0.034482758620689655,0.03874675565443085
0.0,7,0.04597701149425287,0.08602150537634409,0.06599925843529848
0.0,8,0.05319148936170213,0.08139534883720931,0.06729341909945571
0.0,9,0.06896551724137931,0.053763440860215055,0.061364479050797185
0.0,10,0.031914893617021274,0.06976744186046512,0.0508411677387432
0.0,11,0.03260869565217391,0.03409090909090909,0.033349802371541504
0.0,12,0.045454545454545456,0.06521739130434782,0.05533596837944664
0.0,13,0.06666666666666667,0.044444444444444446,0.05555555555555555
0.0,14,0.021739130434782608,0.07954545454545454,0.050642292490118576
0.0,15,0.021739130434782608,0.03409090909090909,0.027915019762845848
0.0,16,0.05813953488372093,0.06382978723404255,0.06098466105888174
0.0,17,0.04395604395604396,0.056179775280898875,0.05006790961847142
0.0,18,0.05,0.025,0.037500000000000006
0.0,19,0.06097560975609756,0.04081632653061224,0.0508959681433549
0.0,20,0.08139534883720931,0.010638297872340425,0.04601682335477487
0.0,21,0.054945054945054944,0.033707865168539325,0.044326460056797135
0.0,22,0.0958904109589041,0.037383177570093455,0.06663679426449878
0.0,23,0.02040816326530612,0.04878048780487805,0.034594325535092084
0.0,24,0.011627906976744186,0.031914893617021274,0.02177140029688273
0.0,25,0.08888888888888889,0.03333333333333333,0.061111111111111116
0.0,26,0.011235955056179775,0.02197802197802198,0.01660698851710088
0.0,27,0.05813953488372093,0.05319148936170213,0.05566551212271153
0.0,28,0.03333333333333333,0.05555555555555555,0.04444444444444444
0.0,29,0.05747126436781609,0.043010752688172046,0.05024100852799407
0.0,30,0.04,0.05,0.045
0.0,31,0.07446808510638298,0.03488372093023256,0.05467590301830777
0.0,32,0.03529411764705882,0.042105263157894736,0.03869969040247678
0.0,33,0.022988505747126436,0.07526881720430108,0.04912866147571376
0.0,34,0.06741573033707865,0.04395604395604396,0.05568588714656131
0.0,35,0.04395604395604396,0.056179775280898875,0.05006790961847142
