HGT,Mean_Raw,Mean_Proc,Mean_Combined,Std_Combined,Raw_GT_Proc_Count
0.0,0.04810485635054779,0.04866663251352026,0.048385744432034035,0.012597002125714105,23
0.05,0.09767799730247585,0.09789328480246505,0.09778564105247044,0.021357969853245142,26
0.1,0.18040685081919614,0.17923672596008672,0.1798217883896414,0.0341353420214929,25
0.2,0.3801071152457988,0.3844629464860081,0.3822850308659036,0.04452403417696729,28
